timestamp,open,high,low,close,vol,volCcy,volCcyQuote
1713015000000,3280.83,3282,3264.01,3266.91,1901.826595,6219901.96428355,6219901.96428355
1713014100000,3284.01,3290.4,3277.68,3280.83,1035.753707,3402028.891357,3402028.891357
1713013200000,3277.55,3290.9,3277.21,3284.01,746.812777,2452391.78904219,2452391.78904219
1713012300000,3276.72,3286.32,3276.02,3277.58,428.635534,1406239.90602504,1406239.90602504
1713011400000,3264.26,3289.72,3264.26,3276.99,1527.584876,5007660.20242104,5007660.20242104
1713010500000,3262.98,3268.17,3259.36,3264.26,521.713202,1703346.90354839,1703346.90354839
1713009600000,3268.15,3273.26,3258.04,3262.74,919.721042,3002788.71461658,3002788.71461658
1713008700000,3278.62,3279.56,3266.08,3268.14,1401.071302,4580716.71331859,4580716.71331859
1713007800000,3276.67,3284.39,3276.6,3278.88,738.911563,2424387.59004317,2424387.59004317
1713006900000,3283.48,3294.18,3276.68,3276.68,1745.278722,5741759.77166183,5741759.77166183
1713006000000,3275.22,3302.11,3275.22,3283.48,3523.925358,11591852.47394898,11591852.47394898
1713005100000,3265.78,3279.46,3265.43,3276.07,1411.637894,4621934.80948543,4621934.80948543
1713004200000,3260.89,3270.29,3260.89,3265.79,498.8391,1629512.79150191,1629512.79150191
1713003300000,3268.41,3270.69,3258.18,3260.89,750.623861,2451800.98668377,2451800.98668377
1713002400000,3265.59,3270.99,3261.42,3268.41,632.389136,2065276.67225859,2065276.67225859
1713001500000,3262.61,3271.47,3259.01,3265.58,623.833369,2037021.83753518,2037021.83753518
1713000600000,3257.6,3266,3253.42,3262.6,843.676667,2750881.22680915,2750881.22680915
1712999700000,3253.24,3260.6,3253.24,3257.6,617.358379,2011047.2204399,2011047.2204399
1712998800000,3252.01,3261.8,3247.66,3253.2,737.998191,2402321.80538393,2402321.80538393
1712997900000,3253.91,3256.48,3247.05,3251.72,582.737379,1894729.70140036,1894729.70140036
1712997000000,3263.73,3264.1,3253.01,3253.9,646.614198,2107034.86849345,2107034.86849345
1712996100000,3250.62,3263.87,3249.4,3263.86,1054.288429,3431362.31272298,3431362.31272298
1712995200000,3257.83,3259.71,3249.09,3250.62,944.601663,3073253.8077894,3073253.8077894
1712994300000,3260.01,3262.97,3253.6,3257.97,1212.025008,3947650.84041481,3947650.84041481
1712993400000,3254.89,3264.99,3250.56,3260.07,1855.268005,6046016.25210384,6046016.25210384
1712992500000,3257,3257,3248.1,3255,1669.115996,5428427.86607174,5428427.86607174
